 Name                                Version             License
 Deprecated                          1.2.18              MIT License
 Flask                               3.1.0               BSD License
 GitPython                           3.1.44              BSD License
 HeapDict                            1.0.1               BSD License
 Jinja2                              3.1.5               BSD License
 Mako                                1.3.9               MIT License
 Markdown                            3.7                 BSD License
 MarkupSafe                          3.0.2               BSD License
 Pint                                0.24.4              BSD License
 PyOpenGL                            3.1.9               BSD License
 PyQt5                               5.15.11             GPL v3
 PyQt5-Qt5                           5.15.2              LGPL v3
 PyQt5_sip                           12.17.0             BSD-2-Clause
 PyYAML                              6.0.2               MIT License
 Pygments                            2.19.1              BSD License
 QtPy                                2.4.3               MIT License
 SQLAlchemy                          2.0.38              MIT License
 Sphinx                              8.1.3               BSD License
 Werkzeug                            3.1.3               BSD License
 aicspylibczi                        3.2.1               GNU General Public License v3 (GPLv3)
 aiohappyeyeballs                    2.4.6               Python Software Foundation License
 aiohttp                             3.11.13             Apache Software License
 aiosignal                           1.3.2               Apache Software License
 alabaster                           1.0.0               BSD License
 alembic                             1.14.1              MIT License
 allencell-segmenter-ml              1.0.0rc4            Free for non-commercial use; Other/Proprietary License
 anndata                             0.11.3              UNKNOWN
 annotated-types                     0.7.0               MIT License
 antlr4-python3-runtime              4.9.3               BSD
 app-model                           0.3.1               BSD License
 appdirs                             1.4.4               MIT License
 array_api_compat                    1.11                MIT License
 asciitree                           0.3.3               MIT
 astropy                             6.1.7               BSD License
 astropy-iers-data                   0.2025.3.3.0.34.45  BSD License
 asttokens                           3.0.0               Apache 2.0
 async-timeout                       5.0.1               Apache Software License
 attrs                               25.1.0              UNKNOWN
 autopage                            0.5.2               Apache Software License
 babel                               2.17.0              BSD License
 bioio                               1.1.0               BSD License
 bioio-base                          1.0.4               BSD License
 bioio-czi                           1.0.2               MIT License
 bioio-ome-tiff                      1.0.1               MIT License
 bioio-tifffile                      1.0.0               MIT License
 blinker                             1.9.0               MIT License
 boto3                               1.37.5              Apache Software License
 botocore                            1.37.5              Apache Software License
 build                               1.2.2.post1         MIT License
 cachetools                          5.5.2               MIT License
 cachey                              0.2.1               BSD License
 certifi                             2025.1.31           Mozilla Public License 2.0 (MPL 2.0)
 charset-normalizer                  3.4.1               MIT License
 click                               8.1.8               BSD License
 cliff                               4.9.1               Apache Software License
 cloudpickle                         3.1.1               BSD License
 cmaes                               0.11.1              MIT License
 cmd2                                2.5.11              MIT License
 colorama                            0.4.6               BSD License
 colorlog                            6.9.0               MIT License
 comm                                0.2.2               BSD License
 contourpy                           1.3.1               BSD License
 cycler                              0.12.1              BSD License
 cyto-dl                             0.4.5               UNKNOWN
 dask                                2025.2.0            BSD License
 databricks-sdk                      0.44.1              Apache Software License
 debugpy                             1.8.12              MIT License
 decorator                           5.2.1               BSD License
 distributed                         2025.2.0            BSD License
 docker                              7.1.0               Apache Software License
 docstring_parser                    0.16                MIT License
 docutils                            0.21.2              BSD License; GNU General Public License (GPL); Public Domain; Python Software Foundation License
 edt                                 2.4.1               GNU General Public License v3 (GPLv3)
 einops                              0.8.1               MIT License
 elementpath                         4.8.0               MIT License
 exceptiongroup                      1.2.2               MIT License
 executing                           2.2.0               MIT License
 fasteners                           0.19                Apache Software License
 filelock                            3.17.0              The Unlicense (Unlicense)
 fire                                0.7.0               Apache Software License
 flexcache                           0.3                 BSD License
 flexparser                          0.4                 BSD License
 fonttools                           4.56.0              MIT License
 freetype-py                         2.5.1               BSD License
 frozenlist                          1.5.0               Apache Software License
 fsspec                              2025.2.0            BSD License
 gitdb                               4.0.12              BSD License
 google-auth                         2.38.0              Apache Software License
 graphene                            3.4.3               MIT
 graphql-core                        3.2.6               MIT License
