 Name                                Version            License                                                                                          
 Babel                               2.15.0             BSD License                                                                                      
 Deprecated                          1.2.14             MIT License                                                                                      
 Flask                               3.0.3              BSD License                                                                                      
 GitPython                           3.1.43             BSD License                                                                                      
 HeapDict                            1.0.1              BSD License                                                                                      
 Jinja2                              3.1.4              BSD License                                                                                      
 Mako                                1.3.5              MIT License                                                                                      
 Markdown                            3.6                BSD License                                                                                      
 MarkupSafe                          2.1.5              BSD License                                                                                      
 Pint                                0.24.1             BSD License                                                                                      
 PyOpenGL                            3.1.7              BSD License                                                                                      
 PyYAML                              6.0.1              MIT License                                                                                      
 Pygments                            2.18.0             BSD License                                                                                      
 QtPy                                2.4.1              MIT License                                                                                      
 SQLAlchemy                          2.0.31             MIT License                                                                                      
 Sphinx                              7.3.7              BSD License                                                                                      
 Werkzeug                            3.0.3              BSD License                                                                                      
 aicsimageio                         4.12.1             BSD License                                                                                      
 aicspylibczi                        3.1.2              UNKNOWN                                                                                          
 aiohttp                             3.9.5              Apache Software License                                                                          
 aiosignal                           1.3.1              Apache Software License                                                                          
 alabaster                           0.7.16             BSD License                                                                                      
 alembic                             1.13.2             MIT License                                                                                      
 allencell-ml-segmenter              0.1.11             BSD License                                                                                      
 aniso8601                           9.0.1              BSD License                                                                                      
 anndata                             0.10.8             UNKNOWN                                                                                          
 annotated-types                     0.7.0              MIT License                                                                                      
 antlr4-python3-runtime              4.9.3              BSD                                                                                              
 app-model                           0.2.7              BSD License                                                                                      
 appdirs                             1.4.4              MIT License                                                                                      
 appnope                             0.1.4              BSD License                                                                                      
 array_api_compat                    1.7.1              MIT License                                                                                      
 asciitree                           0.3.3              MIT                                                                                              
 astropy                             6.1.1              BSD License                                                                                      
 astropy-iers-data                   0.2024.7.1.0.34.3  BSD License                                                                                      
 asttokens                           2.4.1              Apache 2.0                                                                                       
 async-timeout                       4.0.3              Apache Software License                                                                          
 attrs                               23.2.0             MIT License                                                                                      
 autopage                            0.5.2              Apache Software License                                                                          
 bioio                               1.0.2              BSD License                                                                                      
 bioio-base                          1.0.1              BSD License                                                                                      
 bioio-czi                           1.0.0              MIT License                                                                                      
 bioio-ome-tiff                      1.0.0              MIT License                                                                                      
 bioio-tifffile                      1.0.0              MIT License                                                                                      
 blinker                             1.8.2              MIT License                                                                                      
 boto3                               1.34.136           Apache Software License                                                                          
 botocore                            1.34.136           Apache Software License                                                                          
 build                               1.2.1              MIT License                                                                                      
 cachetools                          5.3.3              MIT License                                                                                      
 cachey                              0.2.1              BSD License                                                                                      
